id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
46c319e0-32f0-481c-a6be-d4d7d0e1b1f3,third-party-document,0,0,"{""obverse"": ""tomb-raider-collectible-card-game_big-guns_campsite"", ""reverse"": ""tomb-raider-collectible-card-game_card-back""}","{""name_printed"": ""Campsite"", ""rarity"": ""Common"", ""number"": ""1"", ""type"": ""Location"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8b66de75-cfd7-4116-8e61-86cc5beae4f6,1ced07f1-963b-4972-b6d0-ebe785c8ba01,Campsite,Campsite,{},tomb-raider-collectible-card-game_big-guns_campsite
5c4415e3-3ecc-4f01-bbe3-bf75adf4bdb3,third-party-document,0,0,"{""obverse"": ""tomb-raider-collectible-card-game_big-guns_tribal-village"", ""reverse"": ""tomb-raider-collectible-card-game_card-back""}","{""name_printed"": ""Tribal Village"", ""rarity"": ""Common"", ""number"": ""2"", ""type"": ""Location"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8b66de75-cfd7-4116-8e61-86cc5beae4f6,1ced07f1-963b-4972-b6d0-ebe785c8ba01,Tribal Village,Tribal Village,{},tomb-raider-collectible-card-game_big-guns_tribal-village
568f37b3-ecfb-4bca-a2b9-08a9b8e93efe,third-party-document,0,0,"{""obverse"": ""tomb-raider-collectible-card-game_big-guns_alcove"", ""reverse"": ""tomb-raider-collectible-card-game_card-back""}","{""name_printed"": ""Alcove"", ""rarity"": ""Common"", ""number"": ""3"", ""type"": ""Location"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8b66de75-cfd7-4116-8e61-86cc5beae4f6,1ced07f1-963b-4972-b6d0-ebe785c8ba01,Alcove,Alcove,{},tomb-raider-collectible-card-game_big-guns_alcove
2d6ecec8-c000-408f-b8dc-bbb3d665d44c,third-party-document,0,0,"{""obverse"": ""tomb-raider-collectible-card-game_big-guns_t-rex-lair"", ""reverse"": ""tomb-raider-collectible-card-game_card-back""}","{""name_printed"": ""T-Rex Lair"", ""rarity"": ""Common"", ""number"": ""4"", ""type"": ""Location"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8b66de75-cfd7-4116-8e61-86cc5beae4f6,1ced07f1-963b-4972-b6d0-ebe785c8ba01,T-Rex Lair,T-Rex Lair,{},tomb-raider-collectible-card-game_big-guns_t-rex-lair
1ad6ade6-58d8-4c50-b24f-0076c3be9b6e,third-party-document,0,0,"{""obverse"": ""tomb-raider-collectible-card-game_big-guns_rocket"", ""reverse"": ""tomb-raider-collectible-card-game_card-back""}","{""name_printed"": ""Rocket"", ""rarity"": ""Common"", ""number"": ""5"", ""type"": ""Discovery"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8b66de75-cfd7-4116-8e61-86cc5beae4f6,1ced07f1-963b-4972-b6d0-ebe785c8ba01,Rocket,Rocket,{},tomb-raider-collectible-card-game_big-guns_rocket
618fc75a-6884-459c-b139-bcff064d155c,third-party-document,0,0,"{""obverse"": ""tomb-raider-collectible-card-game_big-guns_machete"", ""reverse"": ""tomb-raider-collectible-card-game_card-back""}","{""name_printed"": ""Machete"", ""rarity"": ""Common"", ""number"": ""6"", ""type"": ""Discovery"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8b66de75-cfd7-4116-8e61-86cc5beae4f6,1ced07f1-963b-4972-b6d0-ebe785c8ba01,Machete,Machete,{},tomb-raider-collectible-card-game_big-guns_machete
e517ce12-f7ca-4acf-82fc-932343857ddc,third-party-document,0,0,"{""obverse"": ""tomb-raider-collectible-card-game_big-guns_cat-idol"", ""reverse"": ""tomb-raider-collectible-card-game_card-back""}","{""name_printed"": ""Cat Idol"", ""rarity"": ""Common"", ""number"": ""7"", ""type"": ""Discovery"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8b66de75-cfd7-4116-8e61-86cc5beae4f6,1ced07f1-963b-4972-b6d0-ebe785c8ba01,Cat Idol,Cat Idol,{},tomb-raider-collectible-card-game_big-guns_cat-idol
6db21602-ebb5-45d8-8ccd-3e1af66b4cf9,third-party-document,0,0,"{""obverse"": ""tomb-raider-collectible-card-game_big-guns_armored-vest"", ""reverse"": ""tomb-raider-collectible-card-game_card-back""}","{""name_printed"": ""Armored Vest"", ""rarity"": ""Common"", ""number"": ""8"", ""type"": ""Discovery"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8b66de75-cfd7-4116-8e61-86cc5beae4f6,1ced07f1-963b-4972-b6d0-ebe785c8ba01,Armored Vest,Armored Vest,{},tomb-raider-collectible-card-game_big-guns_armored-vest
88814a26-d1bc-4bd0-9a15-d78399e41542,third-party-document,0,0,"{""obverse"": ""tomb-raider-collectible-card-game_big-guns_hidden-switch"", ""reverse"": ""tomb-raider-collectible-card-game_card-back""}","{""name_printed"": ""Hidden Switch"", ""rarity"": ""Common"", ""number"": ""9"", ""type"": ""Discovery"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8b66de75-cfd7-4116-8e61-86cc5beae4f6,1ced07f1-963b-4972-b6d0-ebe785c8ba01,Hidden Switch,Hidden Switch,{},tomb-raider-collectible-card-game_big-guns_hidden-switch
b9a41bd3-c251-402c-82d1-48bcdeccdbad,third-party-document,0,0,"{""obverse"": ""tomb-raider-collectible-card-game_big-guns_stopwatch"", ""reverse"": ""tomb-raider-collectible-card-game_card-back""}","{""name_printed"": ""Stopwatch"", ""rarity"": ""Common"", ""number"": ""10"", ""type"": ""Discovery"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8b66de75-cfd7-4116-8e61-86cc5beae4f6,1ced07f1-963b-4972-b6d0-ebe785c8ba01,Stopwatch,Stopwatch,{},tomb-raider-collectible-card-game_big-guns_stopwatch
c26b762b-fb59-447c-aa99-363d3fd3c898,third-party-document,0,0,"{""obverse"": ""tomb-raider-collectible-card-game_big-guns_compsognathus"", ""reverse"": ""tomb-raider-collectible-card-game_card-back""}","{""name_printed"": ""Compsognathus"", ""rarity"": ""Common"", ""number"": ""11"", ""type"": ""Obstacle"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8b66de75-cfd7-4116-8e61-86cc5beae4f6,1ced07f1-963b-4972-b6d0-ebe785c8ba01,Compsognathus,Compsognathus,{},tomb-raider-collectible-card-game_big-guns_compsognathus
a3c152ea-8db2-45c5-bcd5-f1d542815d97,third-party-document,0,0,"{""obverse"": ""tomb-raider-collectible-card-game_big-guns_thick-fog"", ""reverse"": ""tomb-raider-collectible-card-game_card-back""}","{""name_printed"": ""Thick Fog"", ""rarity"": ""Common"", ""number"": ""12"", ""type"": ""Obstacle"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8b66de75-cfd7-4116-8e61-86cc5beae4f6,1ced07f1-963b-4972-b6d0-ebe785c8ba01,Thick Fog,Thick Fog,{},tomb-raider-collectible-card-game_big-guns_thick-fog
c2ff36bb-7601-437d-a8f6-6e845c991649,third-party-document,0,0,"{""obverse"": ""tomb-raider-collectible-card-game_big-guns_witchdoctor"", ""reverse"": ""tomb-raider-collectible-card-game_card-back""}","{""name_printed"": ""Witchdoctor"", ""rarity"": ""Common"", ""number"": ""13"", ""type"": ""Obstacle"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8b66de75-cfd7-4116-8e61-86cc5beae4f6,1ced07f1-963b-4972-b6d0-ebe785c8ba01,Witchdoctor,Witchdoctor,{},tomb-raider-collectible-card-game_big-guns_witchdoctor
a1fdf201-74c5-48b0-aa72-8c1dc381e684,third-party-document,0,0,"{""obverse"": ""tomb-raider-collectible-card-game_big-guns_tribal-warrior"", ""reverse"": ""tomb-raider-collectible-card-game_card-back""}","{""name_printed"": ""Tribal Warrior"", ""rarity"": ""Common"", ""number"": ""14"", ""type"": ""Obstacle"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8b66de75-cfd7-4116-8e61-86cc5beae4f6,1ced07f1-963b-4972-b6d0-ebe785c8ba01,Tribal Warrior,Tribal Warrior,{},tomb-raider-collectible-card-game_big-guns_tribal-warrior
da2a4c74-0a40-4810-9960-f0ff7b0edaeb,third-party-document,0,0,"{""obverse"": ""tomb-raider-collectible-card-game_big-guns_wasps"", ""reverse"": ""tomb-raider-collectible-card-game_card-back""}","{""name_printed"": ""Wasps"", ""rarity"": ""Common"", ""number"": ""15"", ""type"": ""Obstacle"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8b66de75-cfd7-4116-8e61-86cc5beae4f6,1ced07f1-963b-4972-b6d0-ebe785c8ba01,Wasps,Wasps,{},tomb-raider-collectible-card-game_big-guns_wasps
